"transition","12-17","18-24","25-34","35-44","45-54","55-64","65-74","75-80"
"NN","99.3 (99.2,  99.5)","96.9 (96.5,  97.3)","98.2 (97.5,  98.8)","98.7 (98.2,  99.1)","98.4 (98.0,  98.7)","98.2 (97.7,  98.6)","99.0 (98.5,  99.4)","99.4 (99.2,  99.7)"
"NC"," 0.3 ( 0.2,   0.4)"," 2.3 ( 2.0,   2.6)"," 1.8 ( 1.5,   2.2)"," 1.3 ( 0.9,   1.7)"," 1.6 ( 1.3,   2.0)"," 1.8 ( 1.4,   2.3)"," 1.0 ( 0.7,   1.4)"," 0.6 ( 0.3,   0.8)"
"ND"," 0.1 ( 0.0,   0.1)"," 0.1 ( 0.0,   0.1)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"
"NE"," 0.3 ( 0.2,   0.4)"," 0.7 ( 0.5,   0.9)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"
"CC","84.0 (78.2,  89.7)","86.1 (84.4,  87.8)","88.5 (87.1,  89.8)","91.3 (90.1,  92.5)","93.7 (92.6,  94.8)","92.3 (90.8,  93.7)","91.6 (89.5,  93.7)","86.6 (81.0,  92.1)"
"CQ"," 7.2 ( 3.1,  11.2)"," 9.6 ( 8.3,  11.0)"," 8.9 ( 7.7,  10.1)"," 6.3 ( 5.3,   7.3)"," 5.2 ( 4.2,   6.2)"," 6.2 ( 4.9,   7.5)"," 8.0 ( 5.9,  10.1)","12.5 ( 7.1,  17.9)"
"CD"," 8.3 ( 4.4,  12.2)"," 2.6 ( 1.7,   3.4)"," 1.4 ( 1.0,   1.9)"," 1.5 ( 0.9,   2.0)"," 0.7 ( 0.3,   1.1)"," 0.9 ( 0.5,   1.4)"," 0.2 ( 0.0,   0.5)"," 0.6 ( 0.0,   1.8)"
"CE"," 0.6 ( 0.0,   1.7)"," 1.7 ( 1.0,   2.3)"," 1.2 ( 0.8,   1.7)"," 0.9 ( 0.5,   1.3)"," 0.5 ( 0.2,   0.7)"," 0.5 ( 0.2,   0.9)"," 0.2 ( 0.0,   0.5)"," 0.3 ( 0.0,   1.0)"
"QC"," 2.7 ( 0.0,   6.7)","19.1 (14.5,  23.8)"," 9.3 ( 7.1,  11.5)"," 5.7 ( 4.0,   7.4)"," 2.5 ( 1.5,   3.6)"," 1.7 ( 0.9,   2.6)"," 1.4 ( 0.6,   2.3)"," 0.6 ( 0.0,   1.1)"
"QQ","90.5 (81.8,  99.2)","75.1 (69.8,  80.3)","87.4 (84.9,  89.9)","92.2 (90.4,  94.0)","96.6 (95.5,  97.7)","97.6 (96.7,  98.5)","98.1 (97.2,  99.1)","99.2 (98.6,  99.8)"
"QD"," 4.9 ( 0.0,  11.6)"," 1.8 ( 0.4,   3.3)"," 0.2 ( 0.0,   0.3)"," 0.2 ( 0.0,   0.5)"," 0.2 ( 0.0,   0.3)"," 0.0 ( 0.0,   0.0)"," 0.1 ( 0.0,   0.2)"," 0.1 ( 0.0,   0.2)"
"QE"," 1.8 ( 0.0,   5.6)"," 4.0 ( 1.9,   6.0)"," 3.1 ( 1.9,   4.4)"," 1.9 ( 1.2,   2.5)"," 0.7 ( 0.3,   1.1)"," 0.7 ( 0.4,   1.0)"," 0.4 ( 0.0,   0.8)"," 0.2 ( 0.0,   0.4)"
"DC","35.2 ( 0.0,  71.1)","24.5 ( 6.3,  42.7)","76.1 (50.4, 100.0)","76.1 (50.4, 100.0)","76.1 (50.4, 100.0)","76.1 (50.4, 100.0)","76.1 (50.4, 100.0)","76.1 (50.4, 100.0)"
"DQ","28.9 ( 0.0,  66.0)","10.2 ( 0.0,  26.6)","10.0 ( 0.0,  25.4)","10.0 ( 0.0,  25.4)","10.0 ( 0.0,  25.4)","10.0 ( 0.0,  25.4)","10.0 ( 0.0,  25.4)","10.0 ( 0.0,  25.4)"
"DD","35.9 ( 0.0,  87.5)","62.5 (37.2,  87.8)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"
"DE"," 0.0 ( 0.0,   0.0)"," 2.8 ( 0.0,   9.0)","14.0 ( 0.0,  34.8)","14.0 ( 0.0,  34.8)","14.0 ( 0.0,  34.8)","14.0 ( 0.0,  34.8)","14.0 ( 0.0,  34.8)","14.0 ( 0.0,  34.8)"
"EC"," 2.3 ( 2.2,   2.3)"," 6.8 ( 0.0,  19.7)"," 1.8 ( 0.0,   4.0)"," 1.8 ( 0.0,   4.0)"," 1.8 ( 0.0,   4.0)"," 1.8 ( 0.0,   4.0)"," 1.8 ( 0.0,   4.0)"," 1.8 ( 0.0,   4.0)"
"EQ"," 0.0 ( 0.0,   0.0)"," 8.0 ( 0.0,  20.2)","10.7 ( 5.5,  15.9)","10.7 ( 5.5,  15.9)","10.7 ( 5.5,  15.9)","10.7 ( 5.5,  15.9)","10.7 ( 5.5,  15.9)","10.7 ( 5.5,  15.9)"
"ED"," 3.6 ( 3.5,   3.7)"," 5.1 ( 0.0,  12.2)"," 4.1 ( 0.6,   7.5)"," 4.1 ( 0.6,   7.5)"," 4.1 ( 0.6,   7.5)"," 4.1 ( 0.6,   7.5)"," 4.1 ( 0.6,   7.5)"," 4.1 ( 0.6,   7.5)"
"EE","94.1 (94.0,  94.2)","80.1 (60.9,  99.2)","83.4 (76.3,  90.5)","83.4 (76.3,  90.5)","83.4 (76.3,  90.5)","83.4 (76.3,  90.5)","83.4 (76.3,  90.5)","83.4 (76.3,  90.5)"
